id,shapeset,type,total_height,instability_type,cam_angle,stable_height
54,2,1,3,1,1,2
173,1,1,4,1,2,1
245,1,1,4,1,2,1
465,2,1,5,0,1,5
611,2,1,3,1,1,1
758,1,2,6,1,1,2
1012,2,1,6,0,1,6
1075,2,2,3,1,1,1
1084,1,1,5,0,2,5
1121,2,2,6,1,1,4
1247,2,2,5,2,1,4
1400,2,2,6,0,1,6
1686,2,1,5,2,1,3
1706,2,2,5,1,2,3
1732,2,1,5,2,1,2
1928,1,1,4,1,1,3
2126,2,1,5,1,1,3
2322,1,2,6,1,2,1
2382,2,2,3,0,2,3
2670,1,2,6,1,1,1
2916,2,1,4,0,1,4
3178,1,2,4,1,1,1
3242,2,2,4,2,1,1
3247,2,1,3,2,1,1
3414,2,2,6,1,1,5
3418,2,1,6,1,2,2
3531,2,1,4,1,1,2
3649,2,1,4,2,1,3
3713,2,1,3,0,2,3
3774,1,1,3,1,1,1
4203,2,2,2,1,1,1
4384,2,1,4,1,1,1
4418,2,2,4,2,1,3
4487,1,2,5,0,1,5
4566,2,2,4,2,1,2
4723,2,1,3,2,1,1
4955,2,2,3,0,1,3
5137,1,2,3,0,1,3
5147,2,2,2,2,1,1
5238,2,2,3,0,1,3
5255,1,1,5,0,1,5
5434,1,2,6,0,1,6
5689,2,1,3,1,1,2
5993,1,1,3,1,1,2
6144,2,1,5,2,1,3
6255,2,2,5,2,1,2
6336,1,2,6,1,1,5
6507,2,1,6,2,2,3
6584,1,2,5,0,1,5
6589,1,1,6,1,1,4
6595,2,1,4,2,1,2
6604,1,1,4,1,1,3
6661,1,2,6,1,1,5
6882,2,1,6,0,1,6
6972,1,1,3,1,1,2
7052,2,1,3,0,1,3
7103,1,1,5,1,1,2
7168,2,2,3,2,1,1
7277,1,2,6,0,2,6
7294,2,2,2,2,1,1
7379,2,2,6,0,1,6
7498,2,1,2,1,1,1
7581,2,2,5,1,1,3
7613,2,1,4,0,1,4
7757,1,1,6,1,1,4
7884,2,1,4,1,1,2
8609,1,1,5,1,1,2
8673,2,2,4,1,1,1
8704,2,2,5,0,1,5
8749,2,1,3,2,1,2
8931,1,2,5,1,1,2
9034,2,1,4,1,1,1
9087,2,2,6,2,1,1
9218,2,1,2,1,1,1
9249,2,1,3,2,1,2
9511,1,1,4,1,1,3
9748,1,2,3,1,1,1
9853,1,1,5,1,1,4
9889,2,1,5,2,2,4
10041,2,1,5,1,1,1
10227,2,2,6,0,1,6
10259,2,2,3,0,1,3
10352,2,2,4,0,1,4
10400,1,1,3,1,2,2
10407,2,2,4,2,1,3
10421,1,2,6,1,1,2
11030,2,1,3,1,1,1
11223,1,2,6,1,1,5
11413,2,2,3,2,1,2
11537,2,2,5,1,1,4
11974,1,2,5,1,1,1
12401,2,2,6,0,1,6
12536,2,1,6,1,1,2
12697,1,1,6,1,1,3
12746,1,1,6,0,1,6
12831,1,2,6,1,1,2
12892,2,2,6,2,1,4
13009,2,2,3,1,1,2
13443,1,1,5,1,1,2
13523,2,1,3,2,2,1
13602,1,2,3,1,1,2
13611,2,1,2,1,1,1
13655,1,2,4,0,1,4
13728,2,2,6,1,1,2
13782,2,2,6,0,1,6
14102,1,1,2,1,1,1
14231,2,2,3,1,1,2
14566,1,2,5,1,1,1
14661,2,1,6,1,2,4
14704,1,2,4,0,1,4
14861,1,1,2,1,1,1
15095,2,2,6,1,1,3
15151,2,1,3,0,1,3
15162,2,1,4,1,1,3
15216,2,1,3,2,1,1
15227,1,1,6,0,1,6
15452,2,1,6,1,2,5
15596,2,1,6,2,1,1
15809,2,1,6,1,2,4
15861,2,2,6,1,1,4
15873,1,2,5,1,1,1
15985,2,1,2,0,2,2
16049,1,1,5,1,1,2
16191,2,1,4,2,1,1
16268,2,1,6,2,1,4
16299,2,2,4,0,1,4
16424,2,2,2,2,1,1
16444,2,1,5,0,2,5
16565,2,1,6,2,1,2
16656,2,1,6,1,1,5
16735,2,1,6,2,1,1
16858,2,2,5,1,1,2
17063,2,2,6,2,1,4
17196,2,1,6,1,2,3
17220,1,2,5,1,1,4
17251,1,2,5,1,1,2
17266,1,2,5,1,1,4
17270,1,1,6,0,1,6
17290,1,2,3,1,1,1
17704,1,2,2,1,2,1
17857,2,1,5,1,1,4
17970,1,1,6,1,1,4
18362,1,2,4,1,1,2
18415,2,2,2,0,2,2
18600,1,2,6,1,1,4
18613,1,1,4,1,1,2
18847,2,2,5,2,2,1
18984,1,1,3,0,1,3
19243,1,1,4,1,1,3
19361,1,2,5,1,1,3
19370,2,1,5,1,2,4
19724,2,1,2,2,1,1
19730,2,2,4,2,1,2
19965,2,1,4,0,1,4
20044,2,1,5,1,2,4
20069,2,2,3,0,2,3
20116,2,2,6,1,1,3
20150,2,2,6,1,1,3
20347,2,2,6,0,1,6
20442,1,2,4,1,1,3
20582,1,2,2,0,1,2
20608,2,2,3,2,1,1
20630,2,2,6,2,1,4
20844,1,1,6,1,1,1
20860,2,1,4,1,1,1
20908,2,2,3,0,1,3
21439,2,1,6,2,1,2
21518,1,2,5,1,2,1
21709,2,2,3,0,1,3
22037,2,2,3,2,1,1
22450,2,2,6,0,1,6
22748,2,2,4,1,2,3
22781,1,2,3,0,1,3
22798,2,1,6,1,1,2
23099,2,2,5,0,2,5
23342,1,2,6,1,1,3
23351,2,2,2,2,2,1
23802,2,2,5,2,1,1
23808,2,2,6,2,2,5
23911,2,2,2,0,1,2
24211,1,1,4,1,1,1
24548,2,2,6,2,1,5
24581,2,2,3,0,1,3
24609,1,2,6,0,1,6
24683,1,2,2,1,1,1
24812,1,1,2,1,1,1
24907,1,2,6,0,1,6
24976,1,1,4,0,1,4
25002,2,1,5,2,1,2
25073,1,1,2,0,1,2
25112,2,1,3,1,1,1
25147,1,2,5,1,1,3
25192,2,1,6,1,1,3
25586,1,1,4,1,1,2
25911,2,1,5,1,1,2
26025,2,2,6,2,1,2
26211,2,1,5,2,1,4
26349,2,2,3,2,1,1
26368,1,2,2,0,1,2
26410,2,1,6,2,1,4
26463,1,1,2,0,1,2
26535,2,1,5,2,2,1
26646,2,2,6,2,1,5
26659,1,2,6,1,1,3
26702,2,1,6,1,1,5
26802,2,1,5,1,1,2
26814,2,1,3,1,1,1
27449,2,2,6,1,1,5
27468,1,2,4,0,2,4
27521,2,1,6,2,1,5
27569,2,1,5,2,1,2
27738,1,1,4,1,1,3
27922,2,1,3,2,2,1
27956,2,2,4,2,1,3
27975,2,2,5,2,1,2
28025,2,1,6,1,1,4
28062,2,2,6,1,1,1
28069,2,1,4,1,1,3
28232,1,2,5,1,1,4
28497,2,1,4,2,1,3
28509,2,1,6,0,2,6
28578,1,1,5,1,1,3
28727,1,1,4,1,1,2
28901,2,2,6,2,2,3
28908,2,2,5,1,2,3
29078,2,1,6,2,2,5
29187,1,1,6,0,1,6
29253,2,1,5,1,1,2
29408,1,1,2,0,1,2
29534,1,2,3,1,1,1
29551,2,2,5,1,1,1
29679,1,1,4,1,1,3
29738,1,2,4,1,2,2
29839,1,2,6,0,1,6
30187,2,2,6,2,1,2
30263,2,2,2,2,1,1
30416,1,1,2,1,1,1
30424,2,1,2,2,1,1
30455,2,2,6,1,1,5
30476,1,1,3,1,2,1
30497,2,2,4,2,2,3
30521,1,2,5,1,1,2
30917,2,2,4,1,1,2
31054,1,1,6,1,1,3
31149,2,1,5,1,1,2
31171,2,2,6,1,1,1
31435,2,2,5,2,1,2
31551,2,2,4,2,2,2
31647,2,2,6,2,2,2
31851,2,2,2,0,1,2
31929,2,1,4,0,1,4
32114,2,1,6,1,2,2
32258,1,2,3,0,2,3
32278,2,1,6,1,1,4
32394,1,1,6,0,1,6
32416,2,1,5,1,1,1
32705,2,1,6,1,1,1
32885,2,2,2,1,1,1
32913,1,1,2,1,2,1
32937,2,1,3,1,1,1
32970,1,1,5,1,2,2
33145,1,1,3,1,1,2
33436,2,2,6,2,1,4
33557,2,1,3,2,1,1
33772,2,2,2,1,2,1
33774,2,2,5,1,1,3
33937,2,1,3,2,1,2
33940,1,1,3,0,1,3
34043,2,2,5,1,1,4
34135,1,2,5,0,2,5
34207,1,1,2,1,1,1
34442,2,1,3,0,2,3
34561,2,1,3,1,1,1
34884,2,1,5,0,1,5
35199,2,1,3,0,1,3
35231,1,2,5,0,2,5
35656,2,2,5,2,1,2
35871,2,1,4,0,1,4
35945,1,1,4,0,2,4
35956,2,2,6,2,1,5
35984,2,1,5,0,1,5
35986,1,1,2,0,2,2
36059,1,2,6,1,1,5
36113,2,2,4,1,1,1
36277,2,2,3,1,1,2
36308,2,1,2,0,1,2
36387,2,2,3,0,1,3
36533,2,2,4,1,2,1
37102,1,1,5,1,1,3
37367,2,2,4,0,1,4
37449,1,1,5,0,1,5
37658,2,2,4,2,1,3
37856,1,2,6,1,1,3
37919,2,2,5,1,1,1
38028,2,1,6,0,2,6
38032,1,1,3,0,1,3
38214,1,2,4,1,1,3
38242,1,1,6,1,1,3
38725,1,1,4,0,1,4
38851,2,2,3,1,2,2
38867,2,1,3,0,1,3
38873,2,1,2,0,1,2
38961,2,2,6,1,1,5
39026,1,2,6,1,1,5
39049,2,2,3,1,1,1
39293,2,1,5,1,1,3
39364,1,1,4,1,1,1
39767,1,1,5,1,2,4
