,id,stable_height,true_label
0,54,2,2
1,173,1,1
2,245,1,1
3,465,5,5
4,611,1,1
5,758,2,2
6,1012,6,6
7,1075,1,1
8,1084,5,5
9,1121,4,4
10,1247,4,4
11,1400,6,6
12,1686,3,3
13,1706,3,3
14,1732,2,2
15,1928,1,3
16,2126,3,3
17,2322,1,1
18,2382,3,3
19,2670,1,1
20,2916,4,4
21,3178,1,1
22,3242,1,1
23,3247,1,1
24,3414,5,5
25,3418,2,2
26,3531,2,2
27,3649,3,3
28,3713,3,3
29,3774,1,1
30,4203,1,1
31,4384,1,1
32,4418,3,3
33,4487,5,5
34,4566,2,2
35,4723,1,1
36,4955,3,3
37,5137,3,3
38,5147,1,1
39,5238,3,3
40,5255,5,5
41,5434,6,6
42,5689,2,2
43,5993,2,2
44,6144,3,3
45,6255,2,2
46,6336,5,5
47,6507,3,3
48,6584,5,5
49,6589,4,4
50,6595,2,2
51,6604,3,3
52,6661,5,5
53,6882,6,6
54,6972,2,2
55,7052,3,3
56,7103,2,2
57,7168,1,1
58,7277,6,6
59,7294,1,1
60,7379,6,6
61,7498,1,1
62,7581,3,3
63,7613,4,4
64,7757,4,4
65,7884,2,2
66,8609,2,2
67,8673,1,1
68,8704,5,5
69,8749,2,2
70,8931,2,2
71,9034,1,1
72,9087,1,1
73,9218,1,1
74,9249,2,2
75,9511,3,3
76,9748,1,1
77,9853,4,4
78,9889,4,4
79,10041,1,1
80,10227,6,6
81,10259,3,3
82,10352,4,4
83,10400,2,2
84,10407,3,3
85,10421,2,2
86,11030,1,1
87,11223,5,5
88,11413,2,2
89,11537,4,4
90,11974,1,1
91,12401,6,6
92,12536,2,2
93,12697,3,3
94,12746,6,6
95,12831,2,2
96,12892,4,4
97,13009,2,2
98,13443,2,2
99,13523,1,1
100,13602,2,2
101,13611,1,1
102,13655,4,4
103,13728,2,2
104,13782,6,6
105,14102,1,1
106,14231,2,2
107,14566,1,1
108,14661,4,4
109,14704,4,4
110,14861,1,1
111,15095,3,3
112,15151,3,3
113,15162,3,3
114,15216,1,1
115,15227,6,6
116,15452,5,5
117,15596,1,1
118,15809,4,4
119,15861,4,4
120,15873,1,1
121,15985,2,2
122,16049,2,2
123,16191,1,1
124,16268,4,4
125,16299,4,4
126,16424,1,1
127,16444,5,5
128,16565,2,2
129,16656,5,5
130,16735,1,1
131,16858,2,2
132,17063,4,4
133,17196,3,3
134,17220,4,4
135,17251,1,2
136,17266,4,4
137,17270,6,6
138,17290,1,1
139,17704,1,1
140,17857,4,4
141,17970,4,4
142,18362,2,2
143,18415,2,2
144,18600,4,4
145,18613,2,2
146,18847,1,1
147,18984,3,3
148,19243,3,3
149,19361,3,3
150,19370,4,4
151,19724,1,1
152,19730,2,2
153,19965,4,4
154,20044,4,4
155,20069,3,3
156,20116,3,3
157,20150,3,3
158,20347,6,6
159,20442,3,3
160,20582,2,2
161,20608,1,1
162,20630,4,4
163,20844,1,1
164,20860,1,1
165,20908,1,3
166,21439,2,2
167,21518,1,1
168,21709,3,3
169,22037,1,1
170,22450,6,6
171,22748,3,3
172,22781,3,3
173,22798,2,2
174,23099,5,5
175,23342,3,3
176,23351,1,1
