id,shapeset,type,total_height,instability_type,cam_angle,stable_height
841520,1,1,3,0,1,3
452243,2,1,6,0,1,6
625993,1,1,3,1,2,2
307438,2,2,6,2,1,1
812504,2,2,5,0,2,5
964009,2,2,6,1,1,1
899046,1,2,4,1,2,2
454324,2,1,6,2,1,4
1247,2,2,5,2,1,4
407240,2,1,6,1,1,4
602835,2,1,5,2,1,1
252962,2,2,4,1,1,1
874294,1,1,5,1,1,3
250366,2,1,6,2,1,1
720310,2,1,6,2,1,3
707722,2,1,6,0,1,6
907667,2,2,3,0,2,3
78302,2,1,4,1,1,1
544072,1,2,5,1,1,3
327561,1,2,4,1,1,3
221908,2,1,6,2,1,1
633055,1,1,3,1,1,2
250020,1,1,5,1,1,3
738289,2,1,5,1,2,3
162004,2,2,2,0,2,2
332643,1,2,6,1,1,5
393936,2,1,5,0,2,5
122661,1,1,5,1,1,2
111345,2,2,6,2,1,4
395243,2,1,6,0,1,6
984535,2,1,4,2,1,1
803573,2,1,5,2,2,3
958926,2,2,5,2,1,1
146787,2,1,6,0,1,6
846337,1,1,5,0,1,5
971397,1,1,4,0,1,4
101455,2,2,4,2,1,2
911992,2,1,6,0,2,6
553092,1,1,6,1,1,4
879176,1,1,4,0,1,4
271111,2,1,5,1,1,2
99903,1,1,2,0,2,2
479936,2,2,2,2,1,1
4566,2,2,4,2,1,2
823750,1,2,4,1,1,1
510293,1,1,6,1,1,1
687576,2,1,6,2,1,3
817760,2,2,4,2,1,3
383626,2,1,2,0,1,2
98971,2,1,6,2,1,4
815459,2,1,6,1,2,5
713002,1,2,2,1,1,1
967086,2,1,5,2,2,1
801279,1,1,6,1,1,3
197184,2,1,6,0,1,6
702420,2,2,4,2,1,2
84344,2,2,4,2,1,1
955436,2,1,3,0,1,3
546804,2,1,6,2,2,1
26659,1,2,6,1,1,3
822394,2,2,4,0,1,4
103502,1,1,2,0,1,2
145380,2,2,5,1,2,1
213276,2,1,4,0,1,4
584518,2,2,3,0,1,3
841328,2,1,6,1,1,4
684810,2,1,4,1,1,3
947656,2,2,2,0,1,2
875902,1,1,2,0,1,2
467797,2,1,6,1,1,5
767269,2,1,5,0,1,5
750043,2,1,5,2,1,3
116085,1,2,2,0,1,2
507737,2,2,5,1,2,1
49719,2,1,5,2,1,2
1928,1,1,4,1,1,3
140521,2,1,4,0,1,4
358638,2,1,4,1,1,2
924544,1,1,6,1,2,2
1121,2,2,6,1,1,4
322420,1,2,6,1,1,2
514971,2,2,2,1,1,1
538690,2,2,5,0,1,5
76137,1,2,4,1,2,2
368400,2,1,2,2,1,1
843253,2,2,2,1,1,1
142366,2,1,4,0,1,4
901508,1,1,6,1,1,5
40081,2,1,5,1,1,3
638502,2,2,6,1,1,3
625709,2,1,6,2,1,2
969744,1,2,4,1,2,2
926423,2,2,5,1,1,4
102788,1,2,6,1,2,2
787152,2,2,6,2,1,1
620283,2,2,5,1,1,1
175697,2,2,3,2,1,1
53233,2,2,3,2,1,2
675049,2,2,6,1,1,1
62128,2,1,6,2,2,4
790003,2,2,5,1,2,3
8749,2,1,3,2,1,2
52159,1,1,4,1,1,1
848141,1,2,6,1,1,5
865974,2,2,6,1,2,4
251016,2,2,5,1,1,4
517435,2,1,5,2,1,4
808640,1,1,5,0,1,5
641894,1,2,5,1,2,1
416917,1,1,5,1,1,3
910663,2,1,2,0,2,2
47700,2,1,5,2,1,2
524029,2,2,2,1,1,1
490154,1,2,6,1,1,1
575512,2,2,4,0,1,4
485362,1,2,2,0,2,2
584148,2,1,4,2,1,1
593413,2,2,4,0,2,4
301292,2,2,4,1,1,1
916858,1,2,6,1,1,3
109594,2,2,6,1,2,5
343588,1,2,2,1,2,1
532417,2,2,3,1,2,2
813252,2,1,5,2,2,4
67444,2,2,4,2,1,2
394153,2,2,5,1,1,3
329304,2,1,6,1,1,3
149859,1,1,3,1,1,1
892721,2,1,6,2,1,4
957603,2,1,5,0,1,5
593063,1,1,4,1,1,1
334128,1,2,2,1,1,1
944208,2,1,3,0,1,3
271732,2,1,6,1,1,5
364547,2,2,6,1,1,1
494610,2,1,5,0,1,5
876108,1,1,4,1,1,3
500138,2,1,6,2,1,5
880563,2,2,6,2,2,3
61077,1,2,4,0,1,4
448189,1,2,5,1,1,4
935917,2,1,3,2,1,1
101248,2,1,6,2,1,1
101490,2,1,4,1,1,2
659498,1,1,4,1,2,3
60369,2,1,5,2,1,2
357578,1,1,5,1,1,3
351790,2,1,5,2,1,2
711300,2,2,6,2,1,5
473980,2,2,3,2,2,1
666354,2,1,2,0,1,2
377411,2,1,6,2,1,2
338904,1,2,6,1,1,2
52304,1,1,2,1,1,1
253385,2,2,5,1,1,4
742633,2,2,6,1,2,5
726578,2,2,6,0,2,6
872548,2,2,6,2,1,5
162492,2,1,2,2,1,1
355704,2,1,4,1,1,2
990831,2,2,6,2,2,3
386500,2,1,4,1,1,1
592065,1,1,3,1,1,2
263803,2,1,5,1,1,2
825020,1,2,4,1,2,3
804903,2,1,2,1,1,1
544626,1,2,6,1,1,4
